Title,English_Title,Score,Genres,Type,Episodes,Status,Start_Date,End_Date,Premiered,Broadcast,Producers,Licensors,Studios,Source,Duration_Minutes,Rating,Popularity,Members,Favorites,Ranked
Haiyore! Nyaruko-san F,,7.48,"Sci-Fi, Comedy, Parody, Romance",OVA,1,Finished Airing,6/19/2015,,,,"Sotsu, Studio Mausu, DIVE II Entertainment, Avex Pictures","None found, add some",Xebec,Light novel,27,PG-13 - Teens 13 or older,2462,49528,75,1665
Hetalia: The Beautiful World,,7.48,"Comedy, Historical, Parody",ONA,20,Finished Airing,1/25/2013,6/21/2013,,,Frontier Works,Funimation,Studio Deen,Web manga,5,PG-13 - Teens 13 or older,2094,64746,560,1666
Itazura na Kiss,ItaKiss,7.48,"Comedy, Romance, Shoujo",TV,25,Finished Airing,4/5/2008,9/25/2008,Spring 2008,Saturdays at 02:25 (JST),"Bandai Visual, Trinity Sound",Discotek Media,TMS Entertainment,Manga,24,PG-13 - Teens 13 or older,689,245649,2696,1667
Kara no Kyoukai Movie: Mirai Fukuin - Extra Chorus,the Garden of sinners -recalled out summer- extra chorus,7.48,"Mystery, Supernatural, Drama, Seinen",Special,1,Finished Airing,9/28/2013,,,,"None found, add some",Aniplex of America,ufotable,Manga,32,R - 17+ (violence & profanity),2806,38408,38,1668
Mahouka Koukou no Rettousei,The Irregular at Magic High School,7.48,"Action, Magic, Romance, School, Sci-Fi, Supernatural",TV,26,Finished Airing,4/6/2014,9/28/2014,Spring 2014,Sundays at 00:30 (JST),"Aniplex, Square Enix, Movic, ASCII Media Works",Aniplex of America,Madhouse,Light novel,23,PG-13 - Teens 13 or older,121,852381,9846,1669
Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu☆Nijiiro no Hana,,7.48,"Action, Fantasy, Magic, Shoujo",Movie,1,Finished Airing,3/19/2011,,,,Asahi Broadcasting,"None found, add some",Toei Animation,Original,71,G - All Ages,6837,5036,15,1670
Psycho-Pass: Sinners of the System Case.2 - First Guardian,,7.48,"Action, Police, Psychological, Sci-Fi",Movie,1,Finished Airing,2/15/2019,,,,"Dentsu, Fuji TV, Nitroplus, Sony Music Entertainment, TOHO animation, MAGNET","None found, add some",Production I.G,Original,60,R - 17+ (violence & profanity),2067,65934,52,1671
Shigofumi,Shigofumi: Letters from the Departed,7.48,"Drama, Fantasy, Psychological, Supernatural, Thriller",TV,12,Finished Airing,1/6/2008,3/23/2008,Winter 2008,Unknown,"Bandai Visual, Genco, Lantis, Rakuonsha",Sentai Filmworks,J.C.Staff,Original,24,R - 17+ (violence & profanity),1809,81412,332,1672
Shingeki no Kyojin Season 3 Specials,,7.48,"Comedy, Parody, Shounen",Special,7,Finished Airing,10/17/2018,9/18/2019,,,"None found, add some","None found, add some","None found, add some",Manga,2,G - All Ages,3665,23151,35,1673
Shoujo☆Kageki Revue Starlight: Rondo Rondo Rondo,,7.48,"Music, School",Movie,1,Finished Airing,8/7/2020,,,,Bushiroad,"None found, add some",Kinema Citrus,Original,120,PG-13 - Teens 13 or older,7728,3659,12,1674
Suisei no Gargantia,Gargantia on the Verdurous Planet,7.48,"Action, Sci-Fi, Adventure, Mecha",TV,13,Finished Airing,4/7/2013,6/30/2013,Spring 2013,Sundays at 22:00 (JST),"Bandai Visual, Yomiuri Telecasting, Lantis, Nitroplus, Bushiroad, Good Smile Company",VIZ Media,Production I.G,Original,23,PG-13 - Teens 13 or older,549,296843,1111,1675
Super Cub,,7.48,"Slice of Life, School",TV,12,Finished Airing,4/7/2021,6/23/2021,Spring 2021,Wednesdays at 23:00 (JST),Bandai Namco Arts,Funimation,Studio Kai,Light novel,24,PG-13 - Teens 13 or older,1909,74108,599,1676
"Suteki Desu wa, Sakura-chan! Tomoyo no Cardcaptor Sakura Katsuyaku Video Nikki!",,7.48,"Comedy, Shoujo",Special,3,Finished Airing,9/25/1998,9/25/1999,,,NHK,"None found, add some",Madhouse,Manga,5,G - All Ages,3454,25923,533,1677
Suzumiya Haruhi-chan no Yuuutsu,The Melancholy of Haruhi-chan Suzumiya,7.48,"Comedy, Parody",ONA,25,Finished Airing,2/14/2009,5/8/2009,,,Kadokawa Shoten,"Funimation, Bandai Entertainment",Kyoto Animation,4-koma manga,5,PG-13 - Teens 13 or older,1657,92923,332,1678
Tales of Symphonia The Animation: Tethe'alla-hen,,7.48,"Action, Adventure, Magic, Martial Arts, Fantasy",OVA,4,Finished Airing,3/25/2010,2/25/2011,,,"None found, add some","None found, add some",ufotable,Game,40,PG-13 - Teens 13 or older,3238,29313,72,1679
Tennis no Ouji-sama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri,Prince of Tennis: Atobe Kara no Okurimono,7.48,"Comedy, Shounen, Sports",Movie,1,Finished Airing,1/29/2005,,,,"Production I.G, Nihon Ad Systems","None found, add some",Trans Arts,Manga,30,PG-13 - Teens 13 or older,4553,13882,26,1680
Yao Shen Ji Zhi Hei Yu Pian,,7.48,"Action, Adventure, Demons, Romance, Martial Arts, Fantasy",ONA,52,Finished Airing,4/8/2020,9/27/2020,,,bilibili,"None found, add some",Ruo Hong Culture,Novel,8,PG-13 - Teens 13 or older,7387,4167,24,1681
Yowamushi Pedal: Spare Bike,,7.48,"Comedy, Sports, Drama, Shounen",Movie,1,Finished Airing,9/9/2016,,,,"None found, add some","None found, add some",TMS Entertainment,Manga,60,PG-13 - Teens 13 or older,5163,10118,8,1682
Zero no Tsukaima F,The Familiar of Zero F,7.48,"Adventure, Ecchi, Fantasy, Magic, Romance",TV,12,Finished Airing,1/7/2012,3/24/2012,Winter 2012,Saturdays at 08:30 (JST),"Cospa, Showgate",Sentai Filmworks,J.C.Staff,Light novel,24,PG-13 - Teens 13 or older,445,356569,1083,1683
Mugen no Ryvius,Infinite Ryvius,7.47,"Drama, Mecha, Military, Psychological, Sci-Fi, Space",TV,26,Finished Airing,10/6/1999,3/29/2000,Fall 1999,Wednesdays at 18:00 (JST),"TV Tokyo, Bandai Visual, Yomiko Advertising","Bandai Entertainment, Sentai Filmworks",Sunrise,Original,23,PG-13 - Teens 13 or older,2807,38337,303,1684
Neo-Aspect,,7.47,Music,Music,1,Finished Airing,5/31/2018,,,,"None found, add some","None found, add some",SANZIGEN,Original,2,G - All Ages,8969,2234,5,1685
On Your Mark,,7.47,"Sci-Fi, Music, Drama",Music,1,Finished Airing,6/29/1995,,,,"None found, add some","None found, add some",Studio Ghibli,Music,6,G - All Ages,3399,26982,70,1686
Oushitsu Kyoushi Heine,The Royal Tutor,7.47,"Slice of Life, Comedy, Historical",TV,12,Finished Airing,4/5/2017,6/21/2017,Spring 2017,Wednesdays at 02:05 (JST),"TV Tokyo, Square Enix, Sotsu, TV Osaka, AT-X, DAX Production, TV Tokyo Music, Avex Pictures, BS Japan, Dai Nippon Printing, Contents Seed, A-Sketch",Funimation,Bridge,Manga,23,PG-13 - Teens 13 or older,1396,114798,698,1687
Saki,,7.47,"Game, School, Slice of Life",TV,25,Finished Airing,4/6/2009,9/28/2009,Spring 2009,Mondays at 02:00 (JST),"TV Tokyo, Square Enix, Sotsu, Lantis, Pony Canyon, KlockWorx, TV Tokyo Music, Kiyosumi High School Mahjong Club, Sotsu Music Publishing","None found, add some","Gonzo, Picture Magic",Manga,24,PG-13 - Teens 13 or older,1784,83126,766,1688
Salaryman Kintarou,,7.47,"Comedy, Drama, Martial Arts, Seinen",TV,20,Finished Airing,2/18/2001,3/18/2001,Winter 2001,Unknown,"Bandai Visual, TBS, 81 Produce, Shueisha, Arts Magic","None found, add some",JCF,Manga,25,R+ - Mild Nudity,5622,8203,32,1689
Samurai 7,,7.47,"Historical, Mecha, Samurai, Sci-Fi",TV,26,Finished Airing,6/12/2004,12/25/2004,Summer 2004,Unknown,"GDH, Sotsu Music Publishing",Funimation,Gonzo,Other,26,PG-13 - Teens 13 or older,1384,116007,652,1690
Shonan Junai Gumi!,,7.47,"Action, Comedy, School",OVA,5,Finished Airing,1/21/1994,1/24/1997,,,Japan Home Video,"None found, add some","J.C.Staff, Life Work",Manga,46,R+ - Mild Nudity,2829,37641,135,1691
SSSS.Dynazenon,,7.47,"Action, Sci-Fi, Mecha",TV,12,Finished Airing,4/2/2021,6/18/2021,Spring 2021,Fridays at 22:00 (JST),"Mainichi Broadcasting System, Pony Canyon, Tsuburaya Productions, Ultra Super Pictures, Memory-Tech, Good Smile Company, BS11",Funimation,Trigger,Original,23,PG-13 - Teens 13 or older,1786,82768,544,1692
Tegamibachi: Hikari to Ao no Gensou Yawa,Letter Bee: Light and Blue Night Fantasy,7.47,"Adventure, Slice of Life, Supernatural, Fantasy, Shounen",Special,1,Finished Airing,11/24/2008,,,,"None found, add some","None found, add some",Studio Pierrot,Manga,27,PG-13 - Teens 13 or older,4598,13540,10,1693
Tennis no Ouji-sama Movie 2: Eikokushiki Teikyuu Shiro Kessen!,,7.47,"Action, Comedy, School, Shounen, Sports",Movie,1,Finished Airing,9/3/2011,,,,Nihon Ad Systems,"None found, add some","Production I.G, M.S.C",Manga,87,PG-13 - Teens 13 or older,5229,9755,13,1694
Tensei shitara Slime Datta Ken OVA,That Time I Got Reincarnated as a Slime OAD,7.47,"Action, Adventure, Comedy, Demons, Magic, Fantasy",OVA,5,Finished Airing,7/9/2019,11/27/2020,,,"None found, add some","None found, add some",8bit,Manga,23,PG-13 - Teens 13 or older,1073,157177,359,1695
The iDOLM@STER: 765 Pro to Iu Monogatari,,7.47,"Music, Comedy, Drama",Special,1,Finished Airing,6/28/2012,,,,Aniplex,"None found, add some",A-1 Pictures,Game,24,PG-13 - Teens 13 or older,3860,20634,14,1696
To LOVE-Ru Darkness,To LOVE Ru Darkness,7.47,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",TV,12,Finished Airing,10/6/2012,12/29/2012,Fall 2012,Unknown,"Geneon Universal Entertainment, Magic Capsule, Shueisha",Sentai Filmworks,Xebec,Manga,23,R+ - Mild Nudity,520,310607,1926,1697
To LOVE-Ru Darkness 2nd,To LOVE Ru Darkness 2,7.47,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen",TV,12,Finished Airing,7/7/2015,10/29/2015,Summer 2015,Tuesdays at 00:00 (JST),"TBS, Magic Capsule, Warner Bros. Japan, NBCUniversal Entertainment Japan, Shueisha",Sentai Filmworks,Xebec,Manga,23,R+ - Mild Nudity,798,213429,867,1698
Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato Desu kara,,7.47,"Action, Sci-Fi, Super Power",OVA,1,Finished Airing,9/26/2010,,,,"Geneon Universal Entertainment, Movic, AT-X, ASCII Media Works","None found, add some",J.C.Staff,Manga,34,PG-13 - Teens 13 or older,2203,60062,28,1699
Toaru Majutsu no Index Movie: Endymion no Kiseki,A Certain Magical Index the Movie: The Miracle of Endymion,7.47,"Action, Magic, Sci-Fi, Super Power",Movie,1,Finished Airing,2/23/2013,,,,"Geneon Universal Entertainment, Square Enix, AT-X, Warner Bros. Japan, ASCII Media Works",Funimation,J.C.Staff,Original,90,R - 17+ (violence & profanity),1417,112180,161,1700
Toradora! Recap,,7.47,"Slice of Life, Comedy, Romance, School",OVA,1,Finished Airing,4/30/2009,,,,"None found, add some","None found, add some",J.C.Staff,Light novel,29,PG-13 - Teens 13 or older,2289,56295,60,1701
Toshokan Sensou,Library Wars,7.47,"Action, Military, Comedy, Romance",TV,12,Finished Airing,4/11/2008,6/27/2008,Spring 2008,Fridays at 00:45 (JST),"Fuji TV, Code, Asmik Ace, ASCII Media Works, Sony Music Entertainment, Atelier Musa",Discotek Media,Production I.G,Novel,23,PG-13 - Teens 13 or older,2093,64858,377,1702
Tsugu Tsugumomo,,7.47,"Action, Comedy, Supernatural, Ecchi, School, Seinen",TV,12,Finished Airing,4/5/2020,6/21/2020,Spring 2020,Sundays at 21:30 (JST),"None found, add some",Crunchyroll,Zero-G,Manga,24,R+ - Mild Nudity,1946,71743,232,1703
Yawara!,,7.47,"Action, Comedy, Drama, Martial Arts, Romance, Slice of Life, Sports",TV,124,Finished Airing,10/16/1989,9/21/1992,Fall 1989,Mondays at 07:30 (JST),Kitty Films,AnimEigo,Madhouse,Manga,25,PG-13 - Teens 13 or older,4287,16255,84,1704
Bai She: Yuan Qi,White Snake,7.47,"Action, Adventure, Demons, Drama, Fantasy, Historical, Martial Arts, Romance",Movie,1,Finished Airing,1/11/2019,,,,"None found, add some",GKIDS,Light Chaser Animation Studios,Original,98,PG-13 - Teens 13 or older,6944,4863,25,1705
Be-Bop Highschool,,7.47,"Comedy, School, Seinen",OVA,7,Finished Airing,1/26/1990,10/1/1998,,,"None found, add some","None found, add some",Toei Animation,Manga,50,R - 17+ (violence & profanity),6522,5675,47,1706
Future GPX Cyber Formula Sin,,7.47,"Drama, Sci-Fi, Shounen, Sports",OVA,5,Finished Airing,12/21/1998,3/17/2000,,,"None found, add some","None found, add some",Sunrise,Unknown,30,PG-13 - Teens 13 or older,9183,2059,11,1707
Gabriel DropOut,,7.47,"Comedy, Demons, Supernatural, School, Shounen",TV,12,Finished Airing,1/9/2017,3/27/2017,Winter 2017,Mondays at 22:30 (JST),"Media Factory, AT-X, Sony Music Communications, Kadokawa Media House, NTT Plala","None found, add some",Doga Kobo,Manga,23,PG-13 - Teens 13 or older,419,377694,2806,1708
Guilty Crown,,7.47,"Action, Sci-Fi, Super Power, Drama, Romance, Mecha",TV,22,Finished Airing,10/14/2011,3/23/2012,Fall 2011,Fridays at 01:15 (JST),"Aniplex, Dentsu, Movic, Fuji TV, Fujipacific Music",Funimation,Production I.G,Original,24,R - 17+ (violence & profanity),88,1037079,15928,1709
Hibike! Euphonium: Kakedasu Monaka,"Sound! Euphonium Episode 14 – Ready, Set, Monaka",7.47,"Music, Drama, School",Special,1,Finished Airing,12/16/2015,,,,"Lantis, Pony Canyon, Rakuonsha",Ponycan USA,Kyoto Animation,Novel,23,PG-13 - Teens 13 or older,2573,45245,14,1710
Hokuto no Ken Zero: Kenshirou Den,Fist of the North Star: Legend of Kenshiro,7.47,Martial Arts,Movie,1,Finished Airing,10/11/2008,,,,"None found, add some","None found, add some",TMS Entertainment,Unknown,90,R - 17+ (violence & profanity),5318,9346,14,1711
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,,7.47,"Fantasy, Slice of Life",OVA,1,Finished Airing,3/10/2020,,,,"None found, add some","None found, add some",Ajia-Do,Light novel,24,PG-13 - Teens 13 or older,3465,25862,15,1712
K,,7.47,"Action, Mystery, Super Power, Supernatural",TV,13,Finished Airing,10/5/2012,12/28/2012,Fall 2012,Thursdays at Unknown,"Starchild Records, Mainichi Broadcasting System, KlockWorx",VIZ Media,GoHands,Original,24,PG-13 - Teens 13 or older,197,651512,6111,1713
Kamichu! Specials,The Goddess is a Middle School Student,7.47,"Slice of Life, Comedy, Supernatural, Drama",Special,4,Finished Airing,11/23/2005,3/29/2006,,,Geneon Universal Entertainment,"Funimation, Geneon Entertainment USA",Brain's Base,Original,29,PG - Children,5203,9931,4,1714
"Kore wa Zombie Desu ka? of the Dead: Hai, Minotake ni Attemasu",Is This a Zombie? Of the Dead OVA,7.47,"Action, Harem, Comedy, Supernatural, Magic, Ecchi",OVA,1,Finished Airing,10/20/2012,,,,"Kadokawa Shoten, AT-X, Kadokawa Pictures Japan, KlockWorx, flying DOG",Funimation,Studio Deen,Light novel,26,R+ - Mild Nudity,1616,95961,51,1715
Marmalade Boy,,7.47,"Comedy, Drama, Romance, Shoujo",TV,76,Finished Airing,3/13/1994,9/3/1995,Spring 1994,Sundays at 08:30 (JST),Asahi Broadcasting,"Discotek Media, Tokyopop",Toei Animation,Manga,24,PG-13 - Teens 13 or older,2557,45929,492,1716
Aishiteruze Baby★★,,7.46,"Comedy, Drama, Romance, Shoujo",TV,26,Finished Airing,4/3/2004,10/9/2004,Spring 2004,Sundays at 19:00 (JST),"Animax, Toei Video, Sunny Side Up","None found, add some",TMS Entertainment,Manga,25,PG-13 - Teens 13 or older,1649,93181,502,1717
Ani ni Tsukeru Kusuri wa Nai!,,7.46,"Slice of Life, Comedy, School",TV,12,Finished Airing,4/7/2017,6/23/2017,Spring 2017,Fridays at 21:55 (JST),"bilibili, Tencent Penguin Pictures","None found, add some","Fanworks, Imagineer",Web manga,3,PG-13 - Teens 13 or older,1974,70116,279,1718
Ano Natsu de Matteru,Waiting in the Summer,7.46,"Comedy, Drama, Romance, Sci-Fi, Slice of Life",TV,12,Finished Airing,1/10/2012,3/27/2012,Winter 2012,Tuesdays at 01:30 (JST),"Geneon Universal Entertainment, Genco, AT-X, Bushiroad, Showgate",Sentai Filmworks,J.C.Staff,Original,23,PG-13 - Teens 13 or older,487,330991,1905,1719
Baki: Dai Raitaisai-hen,,7.46,"Action, Martial Arts, Shounen",ONA,13,Finished Airing,6/4/2020,,,,Akita Shoten,"None found, add some",TMS Entertainment,Manga,24,R - 17+ (violence & profanity),1646,93608,227,1720
Bishoujo Senshi Sailor Moon Eternal Movie 1,,7.46,"Demons, Magic, Romance, Shoujo",Movie,1,Finished Airing,1/8/2021,,,,"None found, add some","None found, add some","Toei Animation, Studio Deen",Manga,81,PG-13 - Teens 13 or older,4179,17285,71,1721
Boruto: Naruto the Movie,,7.46,"Action, Comedy, Martial Arts, Shounen, Super Power",Movie,1,Finished Airing,8/7/2015,,,,"Toho, Shueisha",VIZ Media,Studio Pierrot,Manga,95,PG-13 - Teens 13 or older,434,367586,762,1722
Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,"Love, Chunibyo & Other Delusions!: Heart Throb - The Rikka Wars",7.46,"Comedy, Drama, Romance, School, Slice of Life",Special,1,Finished Airing,9/17/2014,,,,Lantis,Sentai Filmworks,Kyoto Animation,Light novel,24,PG-13 - Teens 13 or older,1490,105044,88,1723
CLAMP in Wonderland 2,,7.46,"Action, Fantasy, Magic, Comedy, Romance, Music, Drama",Music,1,Finished Airing,10/26/2007,,,,Victor Entertainment,"None found, add some",Madhouse,Manga,5,G - All Ages,4029,18591,24,1724
Darker than Black: Ryuusei no Gemini,Darker than Black: Gemini of the Meteor,7.46,"Action, Sci-Fi, Mystery, Super Power",TV,12,Finished Airing,10/9/2009,12/25/2009,Fall 2009,Unknown,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Sakura Create",Funimation,Bones,Original,24,R - 17+ (violence & profanity),430,368730,1393,1725
Days: Touin Gakuen-sen!,,7.46,"Sports, School, Shounen",OVA,3,Finished Airing,3/16/2018,7/17/2018,,,"None found, add some","None found, add some",MAPPA,Manga,26,PG-13 - Teens 13 or older,3885,20311,43,1726
Detective Conan Movie 11: Jolly Roger in the Deep Azure,,7.46,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1,Finished Airing,4/21/2007,,,,Big Bang,"None found, add some",TMS Entertainment,Manga,105,PG-13 - Teens 13 or older,2885,36544,10,1727
Digimon Adventure tri. 1: Saikai,Digimon Adventure tri. Reunion,7.46,"Action, Adventure, Comedy, Drama",Movie,1,Finished Airing,11/21/2015,,,,"Bandai, Ai Addiction",Shout! Factory,Toei Animation,Original,89,PG-13 - Teens 13 or older,1512,103254,250,1728
Doraemon Movie 26: Nobita no Kyouryuu 2006,Doraemon the Movie: Nobita's Dinosaur 2006,7.46,"Adventure, Comedy, Kids",Movie,1,Finished Airing,3/4/2006,,,,"None found, add some","None found, add some",Shin-Ei Animation,Unknown,107,PG - Children,5245,9811,13,1729
Gallery Fake,,7.46,"Mystery, Seinen",TV,37,Finished Airing,1/8/2005,9/24/2005,Winter 2005,Unknown,"TV Tokyo, Aniplex","None found, add some","TMS Entertainment, Tokyo Kids, Minami Machi Bugyousho",Manga,25,PG-13 - Teens 13 or older,4778,12262,49,1730
Gokudou-kun Manyuuki,Gokudo,7.46,"Adventure, Comedy, Fantasy, Magic",TV,26,Finished Airing,4/2/1999,9/24/1999,Spring 1999,Fridays at 18:30 (JST),SoftX,"Media Blasters, Discotek Media",Trans Arts,Light novel,23,PG-13 - Teens 13 or older,4627,13262,116,1731
Hakuouki Reimeiroku,Hakuoki ~Demon of the Fleeting Blossom~ Dawn of the Shinsengumi,7.46,"Action, Historical, Supernatural, Drama, Samurai, Josei",TV,12,Finished Airing,7/10/2012,9/25/2012,Summer 2012,Unknown,"None found, add some",Sentai Filmworks,Studio Deen,Visual novel,23,R - 17+ (violence & profanity),2412,51330,129,1732
Hokuto no Ken: Raoh Gaiden Junai-hen,Fist of the North Star: Raoh Side Story Junai Arc,7.46,"Action, Adventure, Martial Arts",Movie,1,Finished Airing,3/11/2006,,,,North Stars Pictures,"None found, add some",TMS Entertainment,Unknown,95,R - 17+ (violence & profanity),5218,9877,18,1733
Junjou Romantica Special,,7.46,"Comedy, Romance, Shounen Ai",Special,1,Finished Airing,6/30/1905,,,,Kadokawa Shoten,"None found, add some",Studio Deen,Manga,16,PG-13 - Teens 13 or older,3130,31420,59,1734
Kiniro no Corda: Primo Passo - Hitonatsu no Encore,,7.46,"Harem, Music, Romance, School, Shoujo",Special,1,Finished Airing,3/25/2007,,,,"Aniplex, Hakusensha, Koei",Sentai Filmworks,Yumeta Company,Visual novel,29,G - All Ages,3766,21714,76,1735
Kishuku Gakkou no Juliet,Boarding School Juliet,7.46,"Action, Comedy, Romance, School, Shounen",TV,12,Finished Airing,10/6/2018,12/22/2018,Fall 2018,Saturdays at 01:25 (JST),NBCUniversal Entertainment Japan,"None found, add some",LIDENFILMS,Manga,24,PG-13 - Teens 13 or older,626,265074,1415,1736
Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain,Ghost in the Shell: Arise - Border 1: Ghost Pain,7.46,"Sci-Fi, Police, Psychological, Mecha",Movie,1,Finished Airing,6/22/2013,,,,"Bandai Visual, Dentsu, Kodansha, flying DOG, TOHO animation",Funimation,Production I.G,Manga,58,R - 17+ (violence & profanity),2310,55384,61,1737
Koukaku Kidoutai: Shin Movie,Ghost in the Shell: The New Movie,7.46,"Action, Sci-Fi, Police, Psychological, Mecha",Movie,1,Finished Airing,6/20/2015,,,,Bandai Visual,Funimation,Production I.G,Manga,100,R - 17+ (violence & profanity),2672,41750,65,1738
"Kumo Desu ga, Nani ka?","So I'm a Spider, So What?",7.46,"Action, Adventure, Comedy, Fantasy, Magic, Mystery",TV,24,Finished Airing,1/8/2021,7/3/2021,Winter 2021,Fridays at 21:30 (JST),Kadokawa,"None found, add some",Millepensee,Light novel,23,PG-13 - Teens 13 or older,651,257185,2516,1739
Magic Knight Rayearth,,7.46,"Adventure, Comedy, Drama, Fantasy, Magic, Mecha, Romance, Shoujo",TV,20,Finished Airing,10/17/1994,3/13/1995,Fall 1994,Mondays at 19:30 (JST),Yomiuri Telecasting,"Media Blasters, Discotek Media",Tokyo Movie Shinsha,Manga,24,PG-13 - Teens 13 or older,2285,56482,464,1740
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,The Irregular at Magic High School The Movie - The Girl Who Summons The Stars,7.46,"Action, Sci-Fi, Supernatural, Magic",Movie,1,Finished Airing,6/17/2017,,,,"Aniplex, Studio Mausu",Aniplex of America,8bit,Light novel,90,R - 17+ (violence & profanity),1132,149831,381,1741
Mardock Scramble: The First Compression,,7.46,"Action, Sci-Fi, Psychological",Movie,1,Finished Airing,10/8/2010,,,,"Aniplex, Starchild Records",Sentai Filmworks,GoHands,Novel,69,R+ - Mild Nudity,2070,65640,156,1742
Nodame Cantabile OVA,,7.46,"Comedy, Josei, Music, Romance, Slice of Life",OVA,1,Finished Airing,8/10/2009,,,,"None found, add some","None found, add some",J.C.Staff,Manga,21,PG-13 - Teens 13 or older,3488,25495,12,1743
Otome Youkai Zakuro,Zakuro,7.46,"Demons, Historical, Military, Romance, Seinen, Supernatural",TV,13,Finished Airing,10/5/2010,12/28/2010,Fall 2010,Tuesdays at 01:30 (JST),Aniplex,"NIS America, Inc.",J.C.Staff,Manga,24,PG-13 - Teens 13 or older,1465,107093,347,1744
Pokemon Generations,Pokémon Generations,7.46,"Action, Adventure, Fantasy, Game, Kids",ONA,18,Finished Airing,12/9/2016,2/2/2017,,,"None found, add some",The Pokemon Company International,OLM,Game,4,PG - Children,2632,43552,82,1745
Senyuu. 2,,7.46,"Action, Comedy, Fantasy, Parody, Shounen",TV,13,Finished Airing,7/3/2013,9/25/2013,Summer 2013,Unknown,"TV Tokyo, Bandai Visual, Lantis, Barnum Studio, Dwango, Good Smile Company","None found, add some","Ordet, LIDENFILMS",Web manga,4,PG-13 - Teens 13 or older,2382,52457,104,1746
Shokugeki no Souma: San no Sara - Kyokuseiryou no Erina,,7.46,"Drama, Shounen",OVA,1,Finished Airing,5/2/2018,,,,"None found, add some","None found, add some",J.C.Staff,Manga,23,PG-13 - Teens 13 or older,2117,63816,52,1747
Sugar Sugar Rune,,7.46,"Fantasy, Magic, Shoujo",TV,51,Finished Airing,7/2/2005,6/24/2006,Summer 2005,Unknown,TV Tokyo Music,"None found, add some",Studio Pierrot,Manga,24,PG - Children,3034,33308,343,1748
Sukitte Ii na yo.,"Say ""I Love You"".",7.46,"Drama, Romance, School, Shoujo",TV,13,Finished Airing,10/7/2012,12/30/2012,Fall 2012,Sundays at 01:00 (JST),"Starchild Records, Kodansha, Magic Capsule, Yomiuri Advertising, GANSIS",Sentai Filmworks,Zexcs,Manga,24,PG-13 - Teens 13 or older,271,537534,4178,1749
Taiho Shichau zo,You're Under Arrest,7.46,"Action, Comedy, Police, Seinen",OVA,4,Finished Airing,9/24/1994,11/25/1995,,,"Bandai Visual, TBS, Kodansha, Marubeni",AnimEigo,Studio Deen,Manga,30,PG-13 - Teens 13 or older,3976,19116,66,1750
Tales of Symphonia The Animation: Sekai Tougou-hen,,7.46,"Action, Adventure, Magic, Martial Arts, Fantasy",OVA,3,Finished Airing,11/23/2011,10/24/2012,,,"None found, add some","None found, add some",ufotable,Game,39,PG-13 - Teens 13 or older,3740,22066,50,1751
Tenshi na Konamaiki,Cheeky Angel,7.46,"Comedy, Magic, Romance, Shounen",TV,50,Finished Airing,4/6/2002,3/29/2003,Spring 2002,Unknown,"None found, add some","None found, add some",TMS Entertainment,Manga,24,PG-13 - Teens 13 or older,3587,23969,127,1752
Tonari no Seki-kun Specials,,7.46,"Comedy, School, Seinen",Special,2,Finished Airing,5/28/2014,,,,Media Factory,"None found, add some",Shin-Ei Animation,Manga,13,G - All Ages,3325,27985,10,1753
Towa no Quon 3: Mugen no Renza,Towanoquon: The Complicity of Dreams,7.46,"Action, Sci-Fi, Super Power, Psychological, Supernatural",Movie,1,Finished Airing,8/13/2011,,,,"Bandai Visual, Lantis, Movic, Showgate, Hakuhodo DY Media Partners, Sony PCL",Sentai Filmworks,Bones,Original,48,PG-13 - Teens 13 or older,3062,32819,18,1754
Yu☆Gi☆Oh! Duel Monsters,Yu-Gi-Oh!,7.46,"Action, Game, Adventure, Fantasy, Shounen",TV,224,Finished Airing,4/18/2000,9/29/2004,Spring 2000,Unknown,Nihon Ad Systems,"4Kids Entertainment, Flatiron Film Company",Gallop,Manga,23,PG-13 - Teens 13 or older,501,323107,3574,1755
Yu☆Gi☆Oh! The Dark Side of Dimensions,,7.46,"Game, Adventure, Shounen",Movie,1,Finished Airing,4/23/2016,,,,"TV Tokyo, Nihon Ad Systems, Shueisha, Konami Digital Entertainment",Manga Entertainment,Gallop,Manga,130,PG - Children,2217,59495,230,1756
Neon Genesis Evangelion: Death & Rebirth,,7.45,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,Finished Airing,3/15/1997,,,,"Movic, Sega, TV Tokyo Music, Audio Tanaka","GKIDS, Manga Entertainment","Gainax, Production I.G",Original,104,R - 17+ (violence & profanity),843,202072,520,1757
